Retailer,Retailer ID,Invoice Date,Region,State,City,Beverage Brand,Days to Deliver,Delivery Company,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales per Unit,Profit per Unit,Delivery Efficiency,Year,Month,Profit Margin,Adj Close
CVS,1128299,1/15/2022,West,Nevada,Las Vegas,Sprite,30,FedEx,0.45,4500,2025,810,0.4,0.45,0.18,67.5,2022,1,40,56.80146643
CVS,1128299,1/15/2022,West,Nevada,Las Vegas,Fanta,48,FedEx,0.45,3000,1350,473,0.35,0.45,0.157666667,28.125,2022,1,35.03703704,56.82492241
CVS,1128299,1/15/2022,West,Nevada,Las Vegas,Powerade,48,UPS,0.5,2500,1250,688,0.55,0.5,0.2752,26.04166667,2022,1,55.04,56.8483784
CVS,1128299,1/15/2022,West,Nevada,Las Vegas,Dasani Water,56,FedEx,0.45,4750,2138,428,0.2,0.450105263,0.090105263,38.17857143,2022,1,20.01870907,56.87183439
CVS,1128299,1/17/2022,West,Oregon,Portland,Coca-Cola,15,USPS,0.35,4000,1400,560,0.4,0.35,0.14,93.33333333,2022,1,40,60.89836175
CVS,1128299,1/17/2022,West,Oregon,Portland,Diet Coke,56,DHL,0.45,4000,1800,720,0.4,0.45,0.18,32.14285714,2022,1,40,60.41955675
CVS,1128299,1/17/2022,West,Oregon,Portland,Sprite,22,UPS,0.45,4000,1800,720,0.4,0.45,0.18,81.81818182,2022,1,40,59.94075176
CVS,1128299,1/17/2022,West,Oregon,Portland,Fanta,43,USPS,0.45,2500,1125,450,0.4,0.45,0.18,26.1627907,2022,1,40,59.46194676
CVS,1128299,1/17/2022,West,Oregon,Portland,Powerade,51,USPS,0.5,2000,1000,450,0.45,0.5,0.225,19.60784314,2022,1,45,58.98314176
CVS,1128299,1/17/2022,West,Oregon,Portland,Dasani Water,57,FedEx,0.45,4500,2025,709,0.35,0.45,0.157555556,35.52631579,2022,1,35.01234568,58.50433677
CVS,1128299,1/20/2022,West,California,San Francisco,Coca-Cola,45,DHL,0.4,7750,3100,1085,0.35,0.4,0.14,68.88888889,2022,1,35,56.74583817
CVS,1128299,1/20/2022,West,California,San Francisco,Diet Coke,50,UPS,0.5,7750,3875,775,0.2,0.5,0.1,77.5,2022,1,20,56.74583817
CVS,1128299,1/20/2022,West,California,San Francisco,Sprite,25,USPS,0.5,7750,3875,1356,0.35,0.5,0.174967742,155,2022,1,34.99354839,56.74583817
CVS,1128299,1/20/2022,West,California,San Francisco,Fanta,48,UPS,0.5,6250,3125,938,0.3,0.5,0.15008,65.10416667,2022,1,30.016,56.74583817
CVS,1128299,1/20/2022,West,California,San Francisco,Powerade,57,FedEx,0.55,5750,3163,1581,0.5,0.550086957,0.274956522,55.49122807,2022,1,49.98419222,56.74583817
CVS,1128299,1/20/2022,West,California,San Francisco,Dasani Water,20,DHL,0.5,7750,3875,581,0.15,0.5,0.074967742,193.75,2022,1,14.99354839,56.74583817
CVS,1128299,1/23/2022,West,Idaho,Boise,Coca-Cola,40,UPS,0.3,4250,1275,446,0.35,0.3,0.104941176,31.875,2022,1,34.98039216,56.48571516
CVS,1128299,1/23/2022,West,Idaho,Boise,Diet Coke,40,DHL,0.4,4250,1700,680,0.4,0.4,0.16,42.5,2022,1,40,56.65984063
CVS,1128299,1/23/2022,West,Idaho,Boise,Sprite,60,DHL,0.4,4250,1700,595,0.35,0.4,0.14,28.33333333,2022,1,35,56.8339661
CVS,1128299,1/23/2022,West,Idaho,Boise,Fanta,50,FedEx,0.4,2750,1100,385,0.35,0.4,0.14,22,2022,1,35,57.00809158
CVS,1128299,1/23/2022,West,Idaho,Boise,Powerade,18,UPS,0.45,2250,1013,304,0.3,0.450222222,0.135111111,56.27777778,2022,1,30.00987167,57.18221705
CVS,1128299,1/23/2022,West,Idaho,Boise,Dasani Water,19,DHL,0.4,4250,1700,425,0.25,0.4,0.1,89.47368421,2022,1,25,57.35634252
CVS,1128299,1/24/2022,West,Wyoming,Cheyenne,Coca-Cola,19,USPS,0.3,3500,1050,368,0.35,0.3,0.105142857,55.26315789,2022,1,35.04761905,56.00790405
CVS,1128299,1/24/2022,West,Wyoming,Cheyenne,Diet Coke,54,UPS,0.4,3500,1400,490,0.35,0.4,0.14,25.92592593,2022,1,35,56.00790405
CVS,1128299,1/24/2022,West,Wyoming,Cheyenne,Sprite,32,DHL,0.4,3500,1400,490,0.35,0.4,0.14,43.75,2022,1,35,56.00790405
CVS,1128299,1/24/2022,West,Wyoming,Cheyenne,Fanta,48,UPS,0.4,2000,800,280,0.35,0.4,0.14,16.66666667,2022,1,35,56.00790405
CVS,1128299,1/24/2022,West,Wyoming,Cheyenne,Powerade,40,DHL,0.45,1500,675,270,0.4,0.45,0.18,16.875,2022,1,40,56.00790405
CVS,1128299,1/24/2022,West,Wyoming,Cheyenne,Dasani Water,29,USPS,0.4,4000,1600,480,0.3,0.4,0.12,55.17241379,2022,1,30,56.00790405
CVS,1128299,1/24/2022,West,Utah,Salt Lake City,Coca-Cola,45,DHL,0.3,3500,1050,368,0.35,0.3,0.105142857,23.33333333,2022,1,35.04761905,56.00790405
CVS,1128299,1/24/2022,West,Utah,Salt Lake City,Diet Coke,27,FedEx,0.4,3500,1400,490,0.35,0.4,0.14,51.85185185,2022,1,35,56.00790405
CVS,1128299,1/24/2022,West,Utah,Salt Lake City,Sprite,45,UPS,0.4,3500,1400,490,0.35,0.4,0.14,31.11111111,2022,1,35,56.00790405
CVS,1128299,1/24/2022,West,Utah,Salt Lake City,Fanta,43,UPS,0.4,2000,800,280,0.35,0.4,0.14,18.60465116,2022,1,35,56.00790405
CVS,1128299,1/24/2022,West,Utah,Salt Lake City,Powerade,41,DHL,0.45,1500,675,270,0.4,0.45,0.18,16.46341463,2022,1,40,56.00790405
CVS,1128299,1/24/2022,West,Utah,Salt Lake City,Dasani Water,43,USPS,0.4,4000,1600,480,0.3,0.4,0.12,37.20930233,2022,1,30,56.00790405
CVS,1128299,1/26/2022,West,Arizona,Phoenix,Coca-Cola,57,FedEx,0.35,4750,1663,582,0.35,0.350105263,0.122526316,29.1754386,2022,1,34.99699339,55.67163086
CVS,1128299,1/26/2022,West,Arizona,Phoenix,Diet Coke,33,FedEx,0.45,4750,2138,855,0.4,0.450105263,0.18,64.78787879,2022,1,39.99064546,55.67163086
CVS,1128299,1/26/2022,West,Arizona,Phoenix,Sprite,47,DHL,0.45,4750,2138,748,0.35,0.450105263,0.157473684,45.4893617,2022,1,34.98596819,55.67163086
CVS,1128299,1/26/2022,West,Arizona,Phoenix,Fanta,51,DHL,0.45,3250,1463,512,0.35,0.450153846,0.157538462,28.68627451,2022,1,34.99658237,55.67163086
CVS,1128299,1/26/2022,West,Arizona,Phoenix,Powerade,24,FedEx,0.5,2750,1375,413,0.3,0.5,0.150181818,57.29166667,2022,1,30.03636364,55.67163086
CVS,1128299,1/26/2022,West,Arizona,Phoenix,Dasani Water,58,FedEx,0.45,4750,2138,534,0.25,0.450105263,0.112421053,36.86206897,2022,1,24.97661366,55.67163086
CVS,1128299,2/3/2022,West,Washington,Seattle,Coca-Cola,38,UPS,0.4,5500,2200,660,0.3,0.4,0.12,57.89473684,2022,2,30,57.54915237
CVS,1128299,2/3/2022,West,Washington,Seattle,Diet Coke,28,DHL,0.5,4500,2250,563,0.25,0.5,0.125111111,80.35714286,2022,2,25.02222222,57.54915237
CVS,1128299,2/3/2022,West,Washington,Seattle,Sprite,40,FedEx,0.5,4500,2250,563,0.25,0.5,0.125111111,56.25,2022,2,25.02222222,57.54915237
CVS,1128299,2/3/2022,West,Washington,Seattle,Fanta,35,DHL,0.5,3000,1500,450,0.3,0.5,0.15,42.85714286,2022,2,30,57.54915237
CVS,1128299,2/3/2022,West,Washington,Seattle,Powerade,56,USPS,0.55,2250,1238,309,0.25,0.550222222,0.137333333,22.10714286,2022,2,24.95961228,57.54915237
CVS,1128299,2/3/2022,West,Washington,Seattle,Dasani Water,59,DHL,0.5,4250,2125,425,0.2,0.5,0.1,36.01694915,2022,2,20,57.54915237
CVS,1128299,2/5/2022,West,Colorado,Denver,Coca-Cola,25,USPS,0.3,5250,1575,551,0.35,0.3,0.104952381,63,2022,2,34.98412698,57.02071708
CVS,1128299,2/5/2022,West,Colorado,Denver,Diet Coke,58,FedEx,0.4,4250,1700,340,0.2,0.4,0.08,29.31034483,2022,2,20,57.25824247
CVS,1128299,2/5/2022,West,Colorado,Denver,Sprite,54,USPS,0.4,4250,1700,595,0.35,0.4,0.14,31.48148148,2022,2,35,57.49576787
CVS,1128299,2/5/2022,West,Colorado,Denver,Fanta,31,USPS,0.4,2750,1100,330,0.3,0.4,0.12,35.48387097,2022,2,30,57.73329326
CVS,1128299,2/5/2022,West,Colorado,Denver,Powerade,36,DHL,0.45,2000,900,450,0.5,0.45,0.225,25,2022,2,50,57.97081866
CVS,1128299,2/5/2022,West,Colorado,Denver,Dasani Water,38,DHL,0.4,4000,1600,240,0.15,0.4,0.06,42.10526316,2022,2,15,58.20834405
CVS,1128299,2/13/2022,West,New Mexico,Albuquerque,Coca-Cola,27,USPS,0.3,5000,1500,600,0.4,0.3,0.12,55.55555556,2022,2,40,57.19675152
CVS,1128299,2/13/2022,West,New Mexico,Albuquerque,Diet Coke,21,USPS,0.4,4000,1600,640,0.4,0.4,0.16,76.19047619,2022,2,40,57.50755105
CVS,1128299,2/13/2022,West,New Mexico,Albuquerque,Sprite,30,DHL,0.4,4000,1600,560,0.35,0.4,0.14,53.33333333,2022,2,35,57.81835057
CVS,1128299,2/13/2022,West,New Mexico,Albuquerque,Fanta,19,FedEx,0.4,2500,1000,400,0.4,0.4,0.16,52.63157895,2022,2,40,58.1291501
CVS,1128299,2/13/2022,West,New Mexico,Albuquerque,Powerade,29,USPS,0.45,1750,788,276,0.35,0.450285714,0.157714286,27.17241379,2022,2,35.02538071,58.43994962
CVS,1128299,2/13/2022,West,New Mexico,Albuquerque,Dasani Water,20,USPS,0.4,3750,1500,375,0.25,0.4,0.1,75,2022,2,25,58.75074915
CVS,1128299,2/15/2022,West,Nevada,Las Vegas,Coca-Cola,20,FedEx,0.35,5250,1838,735,0.4,0.350095238,0.14,91.9,2022,2,39.98911861,56.89529037
CVS,1128299,2/15/2022,West,Nevada,Las Vegas,Diet Coke,25,UPS,0.45,4250,1913,478,0.25,0.450117647,0.112470588,76.52,2022,2,24.98693152,56.89529037
CVS,1128299,2/15/2022,West,Nevada,Las Vegas,Sprite,20,UPS,0.45,4250,1913,765,0.4,0.450117647,0.18,95.65,2022,2,39.98954522,56.89529037
CVS,1128299,2/15/2022,West,Nevada,Las Vegas,Fanta,55,FedEx,0.45,2750,1238,433,0.35,0.450181818,0.157454545,22.50909091,2022,2,34.97576737,56.89529037
CVS,1128299,2/15/2022,West,Nevada,Las Vegas,Powerade,40,DHL,0.5,2000,1000,550,0.55,0.5,0.275,25,2022,2,55,56.89529037
CVS,1128299,2/15/2022,West,Nevada,Las Vegas,Dasani Water,57,UPS,0.45,4000,1800,360,0.2,0.45,0.09,31.57894737,2022,2,20,56.89529037
CVS,1128299,2/17/2022,West,Oregon,Portland,Coca-Cola,19,UPS,0.35,5000,1750,700,0.4,0.35,0.14,92.10526316,2022,2,40,58.02553177
CVS,1128299,2/17/2022,West,Oregon,Portland,Diet Coke,35,UPS,0.45,4000,1800,720,0.4,0.45,0.18,51.42857143,2022,2,40,58.02553177
CVS,1128299,2/17/2022,West,Oregon,Portland,Sprite,19,UPS,0.45,4000,1800,720,0.4,0.45,0.18,94.73684211,2022,2,40,58.02553177
CVS,1128299,2/17/2022,West,Oregon,Portland,Fanta,37,FedEx,0.45,2500,1125,450,0.4,0.45,0.18,30.40540541,2022,2,40,58.02553177
CVS,1128299,2/17/2022,West,Oregon,Portland,Powerade,50,DHL,0.5,1750,875,394,0.45,0.5,0.225142857,17.5,2022,2,45.02857143,58.02553177
CVS,1128299,2/17/2022,West,Oregon,Portland,Dasani Water,40,UPS,0.45,3750,1688,591,0.35,0.450133333,0.1576,42.2,2022,2,35.01184834,58.02553177
CVS,1128299,2/20/2022,West,California,San Francisco,Coca-Cola,26,USPS,0.4,8250,3300,1155,0.35,0.4,0.14,126.9230769,2022,2,35,57.15647067
CVS,1128299,2/20/2022,West,California,San Francisco,Diet Coke,55,FedEx,0.5,7250,3625,725,0.2,0.5,0.1,65.90909091,2022,2,20,57.56710317
CVS,1128299,2/20/2022,West,California,San Francisco,Sprite,59,USPS,0.5,7250,3625,1269,0.35,0.5,0.175034483,61.44067797,2022,2,35.00689655,57.97773567
CVS,1128299,2/20/2022,West,California,San Francisco,Fanta,60,FedEx,0.5,5750,2875,863,0.3,0.5,0.150086957,47.91666667,2022,2,30.0173913,58.38836817
CVS,1128299,2/20/2022,West,California,San Francisco,Powerade,21,UPS,0.55,5000,2750,1375,0.5,0.55,0.275,130.952381,2022,2,50,58.79900067
CVS,1128299,2/20/2022,West,California,San Francisco,Dasani Water,39,DHL,0.5,7000,3500,525,0.15,0.5,0.075,89.74358974,2022,2,15,59.20963317
CVS,1128299,2/23/2022,West,Idaho,Boise,Coca-Cola,20,USPS,0.3,4750,1425,499,0.35,0.3,0.105052632,71.25,2022,2,35.01754386,57.53046799
CVS,1128299,2/23/2022,West,Idaho,Boise,Diet Coke,41,FedEx,0.4,3750,1500,600,0.4,0.4,0.16,36.58536585,2022,2,40,57.53046799
CVS,1128299,2/23/2022,West,Idaho,Boise,Sprite,32,USPS,0.4,3750,1500,525,0.35,0.4,0.14,46.875,2022,2,35,57.53046799
CVS,1128299,2/23/2022,West,Idaho,Boise,Fanta,47,UPS,0.4,2250,900,315,0.35,0.4,0.14,19.14893617,2022,2,35,57.53046799
CVS,1128299,2/23/2022,West,Idaho,Boise,Powerade,52,DHL,0.45,1500,675,203,0.3,0.45,0.135333333,12.98076923,2022,2,30.07407407,57.53046799
CVS,1128299,2/23/2022,West,Idaho,Boise,Dasani Water,43,FedEx,0.4,3500,1400,350,0.25,0.4,0.1,32.55813953,2022,2,25,57.53046799
CVS,1128299,2/24/2022,West,Wyoming,Cheyenne,Coca-Cola,56,DHL,0.3,4500,1350,473,0.35,0.3,0.105111111,24.10714286,2022,2,35.03703704,56.52164841
CVS,1128299,2/24/2022,West,Wyoming,Cheyenne,Diet Coke,52,USPS,0.4,3500,1400,490,0.35,0.4,0.14,26.92307692,2022,2,35,56.52164841
CVS,1128299,2/24/2022,West,Wyoming,Cheyenne,Sprite,51,USPS,0.4,3500,1400,490,0.35,0.4,0.14,27.45098039,2022,2,35,56.52164841
CVS,1128299,2/24/2022,West,Wyoming,Cheyenne,Fanta,52,FedEx,0.4,2000,800,280,0.35,0.4,0.14,15.38461538,2022,2,35,56.52164841
CVS,1128299,2/24/2022,West,Wyoming,Cheyenne,Powerade,20,USPS,0.45,1250,563,225,0.4,0.4504,0.18,28.15,2022,2,39.96447602,56.52164841
CVS,1128299,2/24/2022,West,Wyoming,Cheyenne,Dasani Water,34,UPS,0.4,3250,1300,390,0.3,0.4,0.12,38.23529412,2022,2,30,56.52164841
CVS,1128299,2/24/2022,West,Utah,Salt Lake City,Coca-Cola,30,DHL,0.3,4500,1350,473,0.35,0.3,0.105111111,45,2022,2,35.03703704,56.52164841
CVS,1128299,2/24/2022,West,Utah,Salt Lake City,Diet Coke,35,DHL,0.4,3500,1400,490,0.35,0.4,0.14,40,2022,2,35,56.52164841
CVS,1128299,2/24/2022,West,Utah,Salt Lake City,Sprite,34,DHL,0.4,3500,1400,490,0.35,0.4,0.14,41.17647059,2022,2,35,56.52164841
CVS,1128299,2/24/2022,West,Utah,Salt Lake City,Fanta,39,FedEx,0.4,2000,800,280,0.35,0.4,0.14,20.51282051,2022,2,35,56.52164841
CVS,1128299,2/24/2022,West,Utah,Salt Lake City,Powerade,24,DHL,0.45,1250,563,225,0.4,0.4504,0.18,23.45833333,2022,2,39.96447602,56.52164841
CVS,1128299,2/24/2022,West,Utah,Salt Lake City,Dasani Water,19,USPS,0.4,3250,1300,390,0.3,0.4,0.12,68.42105263,2022,2,30,56.52164841
CVS,1128299,2/26/2022,West,Arizona,Phoenix,Coca-Cola,57,FedEx,0.35,5250,1838,643,0.35,0.350095238,0.12247619,32.24561404,2022,2,34.98367791,55.99202347
CVS,1128299,2/26/2022,West,Arizona,Phoenix,Diet Coke,27,FedEx,0.45,4250,1913,765,0.4,0.450117647,0.18,70.85185185,2022,2,39.98954522,56.31241608
CVS,1128299,2/26/2022,West,Arizona,Phoenix,Sprite,34,USPS,0.45,4250,1913,669,0.35,0.450117647,0.157411765,56.26470588,2022,2,34.97124935,56.63280869
CVS,1128299,2/26/2022,West,Arizona,Phoenix,Fanta,22,UPS,0.45,2750,1238,433,0.35,0.450181818,0.157454545,56.27272727,2022,2,34.97576737,56.95320129
CVS,1128299,2/26/2022,West,Arizona,Phoenix,Powerade,28,UPS,0.5,2000,1000,300,0.3,0.5,0.15,35.71428571,2022,2,30,57.2735939
CVS,1128299,2/26/2022,West,Arizona,Phoenix,Dasani Water,47,USPS,0.45,4000,1800,450,0.25,0.45,0.1125,38.29787234,2022,2,25,57.59398651
CVS,1128299,3/2/2022,West,Washington,Seattle,Coca-Cola,56,DHL,0.5,5750,2875,863,0.3,0.5,0.150086957,51.33928571,2022,3,30.0173913,58.31510544
CVS,1128299,3/2/2022,West,Washington,Seattle,Diet Coke,50,UPS,0.6,4250,2550,638,0.25,0.6,0.150117647,51,2022,3,25.01960784,58.31510544
CVS,1128299,3/2/2022,West,Washington,Seattle,Sprite,33,DHL,0.65,4250,2763,691,0.25,0.650117647,0.162588235,83.72727273,2022,3,25.00904814,58.31510544
CVS,1128299,3/2/2022,West,Washington,Seattle,Fanta,37,USPS,0.65,3250,2113,634,0.3,0.650153846,0.195076923,57.10810811,2022,3,30.00473261,58.31510544
CVS,1128299,3/2/2022,West,Washington,Seattle,Powerade,53,FedEx,0.7,1750,1225,306,0.25,0.7,0.174857143,23.11320755,2022,3,24.97959184,58.31510544
CVS,1128299,3/2/2022,West,Washington,Seattle,Dasani Water,48,FedEx,0.65,3750,2438,488,0.2,0.650133333,0.130133333,50.79166667,2022,3,20.01640689,58.31510544
CVS,1128299,3/4/2022,West,Colorado,Denver,Coca-Cola,18,UPS,0.4,5500,2200,770,0.35,0.4,0.14,122.2222222,2022,3,35,58.44586945
CVS,1128299,3/4/2022,West,Colorado,Denver,Diet Coke,22,DHL,0.5,4000,2000,400,0.2,0.5,0.1,90.90909091,2022,3,20,58.44586945
CVS,1128299,3/4/2022,West,Colorado,Denver,Sprite,21,FedEx,0.55,4000,2200,770,0.35,0.55,0.1925,104.7619048,2022,3,35,58.44586945
CVS,1128299,3/4/2022,West,Colorado,Denver,Fanta,50,UPS,0.55,3000,1650,495,0.3,0.55,0.165,33,2022,3,30,58.44586945
CVS,1128299,3/4/2022,West,Colorado,Denver,Powerade,35,UPS,0.6,1500,900,450,0.5,0.6,0.3,25.71428571,2022,3,50,58.44586945
CVS,1128299,3/4/2022,West,Colorado,Denver,Dasani Water,58,USPS,0.55,3500,1925,289,0.15,0.55,0.082571429,33.18965517,2022,3,15.01298701,58.44586945
CVS,1128299,3/12/2022,West,New Mexico,Albuquerque,Coca-Cola,20,USPS,0.4,5250,2100,840,0.4,0.4,0.16,105,2022,3,40,59.06154867
CVS,1128299,3/12/2022,West,New Mexico,Albuquerque,Diet Coke,50,DHL,0.5,3750,1875,750,0.4,0.5,0.2,37.5,2022,3,40,59.3723482
CVS,1128299,3/12/2022,West,New Mexico,Albuquerque,Sprite,58,USPS,0.5,3750,1875,656,0.35,0.5,0.174933333,32.32758621,2022,3,34.98666667,59.68314772
CVS,1128299,3/12/2022,West,New Mexico,Albuquerque,Fanta,33,UPS,0.5,2500,1250,500,0.4,0.5,0.2,37.87878788,2022,3,40,59.99394725
CVS,1128299,3/12/2022,West,New Mexico,Albuquerque,Powerade,43,DHL,0.55,1500,825,289,0.35,0.55,0.192666667,19.18604651,2022,3,35.03030303,60.30474677
CVS,1128299,3/12/2022,West,New Mexico,Albuquerque,Dasani Water,60,USPS,0.5,3500,1750,438,0.25,0.5,0.125142857,29.16666667,2022,3,25.02857143,60.6155463
CVS,1128299,3/14/2022,West,Nevada,Las Vegas,Coca-Cola,40,USPS,0.45,5500,2475,990,0.4,0.45,0.18,61.875,2022,3,40,55.1000824
CVS,1128299,3/14/2022,West,Nevada,Las Vegas,Diet Coke,50,USPS,0.55,4000,2200,550,0.25,0.55,0.1375,44,2022,3,25,55.1000824
CVS,1128299,3/14/2022,West,Nevada,Las Vegas,Sprite,22,USPS,0.55,4000,2200,880,0.4,0.55,0.22,100,2022,3,40,55.1000824
CVS,1128299,3/14/2022,West,Nevada,Las Vegas,Fanta,34,DHL,0.55,3000,1650,578,0.35,0.55,0.192666667,48.52941176,2022,3,35.03030303,55.1000824
CVS,1128299,3/14/2022,West,Nevada,Las Vegas,Powerade,44,USPS,0.6,1750,1050,578,0.55,0.6,0.330285714,23.86363636,2022,3,55.04761905,55.1000824
CVS,1128299,3/14/2022,West,Nevada,Las Vegas,Dasani Water,59,DHL,0.55,3750,2063,413,0.2,0.550133333,0.110133333,34.96610169,2022,3,20.01938924,55.1000824
CVS,1128299,3/16/2022,West,Oregon,Portland,Coca-Cola,37,UPS,0.45,5250,2363,945,0.4,0.450095238,0.18,63.86486486,2022,3,39.99153618,55.96601868
CVS,1128299,3/16/2022,West,Oregon,Portland,Diet Coke,36,USPS,0.55,3750,2063,825,0.4,0.550133333,0.22,57.30555556,2022,3,39.99030538,55.96601868
CVS,1128299,3/16/2022,West,Oregon,Portland,Sprite,57,DHL,0.6,4000,2400,960,0.4,0.6,0.24,42.10526316,2022,3,40,55.96601868
CVS,1128299,3/16/2022,West,Oregon,Portland,Fanta,24,DHL,0.55,3000,1650,660,0.4,0.55,0.22,68.75,2022,3,40,55.96601868
CVS,1128299,3/16/2022,West,Oregon,Portland,Powerade,33,FedEx,0.6,1500,900,405,0.45,0.6,0.27,27.27272727,2022,3,45,55.96601868
CVS,1128299,3/16/2022,West,Oregon,Portland,Dasani Water,21,UPS,0.45,3500,1575,551,0.35,0.45,0.157428571,75,2022,3,34.98412698,55.96601868
CVS,1128299,3/19/2022,West,California,San Francisco,Coca-Cola,55,FedEx,0.5,8500,4250,1488,0.35,0.5,0.175058824,77.27272727,2022,3,35.01176471,59.62026567
CVS,1128299,3/19/2022,West,California,San Francisco,Diet Coke,38,DHL,0.6,7000,4200,840,0.2,0.6,0.12,110.5263158,2022,3,20,60.03089817
CVS,1128299,3/19/2022,West,California,San Francisco,Sprite,49,UPS,0.6,7000,4200,1470,0.35,0.6,0.21,85.71428571,2022,3,35,60.44153067
CVS,1128299,3/19/2022,West,California,San Francisco,Fanta,39,UPS,0.6,6000,3600,1080,0.3,0.6,0.18,92.30769231,2022,3,30,60.85216317
CVS,1128299,3/19/2022,West,California,San Francisco,Powerade,15,DHL,0.65,5000,3250,1625,0.5,0.65,0.325,216.6666667,2022,3,50,61.26279567
CVS,1128299,3/19/2022,West,California,San Francisco,Dasani Water,26,FedEx,0.6,7000,4200,630,0.15,0.6,0.09,161.5384615,2022,3,15,61.67342817
CVS,1128299,3/22/2022,West,Idaho,Boise,Coca-Cola,24,FedEx,0.4,5000,2000,700,0.35,0.4,0.14,83.33333333,2022,3,35,57.22727585
CVS,1128299,3/22/2022,West,Idaho,Boise,Diet Coke,39,FedEx,0.5,3500,1750,700,0.4,0.5,0.2,44.87179487,2022,3,40,57.22727585
CVS,1128299,3/22/2022,West,Idaho,Boise,Sprite,35,USPS,0.5,3500,1750,613,0.35,0.5,0.175142857,50,2022,3,35.02857143,57.22727585
CVS,1128299,3/22/2022,West,Idaho,Boise,Fanta,30,USPS,0.5,2250,1125,394,0.35,0.5,0.175111111,37.5,2022,3,35.02222222,57.22727585
CVS,1128299,3/22/2022,West,Idaho,Boise,Powerade,30,FedEx,0.55,1250,688,206,0.3,0.5504,0.1648,22.93333333,2022,3,29.94186047,57.22727585
CVS,1128299,3/22/2022,West,Idaho,Boise,Dasani Water,43,DHL,0.5,3250,1625,406,0.25,0.5,0.124923077,37.79069767,2022,3,24.98461538,57.22727585
